,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
61,478.99999999999994,478.99999999999994,614.0,636.0,1961.0,1797.277403035413,1430.0,1990-02-01
62,571.9999999999999,571.9999999999999,799.0,768.0,1936.0,2385.0,1310.0,1990-03-01
63,416.0,416.0,624.0,772.0,1976.0,1325.0,1629.0,1990-04-01
64,569.0,569.0,720.9666666666667,736.8508771929824,1353.0,1401.7346128391791,867.6880165289257,1990-05-01
65,448.3551532033426,448.3551532033426,681.1111111111111,685.3519321766561,1876.2537313432836,2335.0,1318.8748159057438,1990-06-01
67,555.0,555.0,702.0,718.0,1828.867152904402,2264.5,1236.0,1990-08-01
68,472.0,472.0,634.0,626.0,1470.0,1965.1239954075777,998.0,1990-09-01
69,391.5,391.5,535.288070492544,537.5,1396.5,1963.9999999999998,892.0,1990-10-01
74,493.99999999999994,493.99999999999994,735.0,697.0,1690.0,2638.0,981.0,1991-03-01
75,682.0,682.0,1064.343870967742,1170.6756097560976,2458.25,2499.0,1739.5,1991-04-01
76,894.8367768595041,894.8367768595041,1189.0694925937598,1321.6666666666667,2548.904255319149,2240.5,1945.0054274084123,1991-05-01
77,602.5,602.5,859.1825340014318,945.2559863169898,2082.857502799552,2074.7744739249774,1563.4281164695178,1991-06-01
78,583.0,583.0,805.0,872.0,2090.0,2593.20686695279,1389.0,1991-07-01
79,593.3285137861466,593.3285137861466,803.4188422247446,857.0,1830.7575757575758,2467.5,1229.5,1991-08-01
80,476.0,476.0,695.0,677.0,1572.9999999999998,2061.0,1023.0,1991-09-01
81,528.746015936255,528.746015936255,699.0,715.0,1560.0,1965.9999999999998,959.0,1991-10-01
82,539.0,539.0,700.0,709.0,1480.0,1911.0,933.0,1991-11-01
84,1067.0,1067.0,1132.0,1142.0,1813.0,2036.0,1110.0,1992-01-01
87,644.4166666666666,644.4166666666666,984.0,918.5,2124.8,3498.0,1177.2739948119324,1992-04-01
88,799.0039999999999,799.0039999999999,1176.956796116505,1289.4874100719426,2547.4999999999995,2972.6182572614107,1588.0535230352302,1992-05-01
89,737.1371007371007,737.1371007371007,1065.2872785188133,1220.447026022305,2398.5,2663.5,1628.4999999999998,1992-06-01
90,575.0019646365422,575.0019646365422,868.5,962.8961240310077,2047.2498773908778,2241.857410881801,1428.7082947173308,1992-07-01
91,512.3978159126365,512.3978159126365,795.0,894.5,1881.2142857142858,2081.0,1364.9999999999998,1992-08-01
92,504.5,504.5,724.7861139369277,820.5,1699.5,1872.7335164835165,1222.0094905094902,1992-09-01
93,374.20416333066447,374.20416333066447,569.0,601.2832759989415,1383.0,1620.5,874.5,1992-10-01
94,534.2322404371586,534.2322404371586,710.5,681.5,1498.8432883750804,2122.9920338983047,778.5,1992-11-01
95,591.0,591.0,772.0,658.0,1343.0,2719.0,656.0,1992-12-01
96,497.5,497.5,765.5,598.0255972696245,1399.5,2903.0,651.0,1993-01-01
97,478.0,478.0,725.5,586.0,1658.3232439926062,3315.8356997971605,806.274193548387,1993-02-01
100,751.0,751.0,1058.0,1105.0,2108.0,2658.9999999999995,1403.0,1993-05-01
101,499.3333333333333,499.3333333333333,688.2682522123894,789.5000000000001,2089.5927051671733,2079.5,1560.2292332268369,1993-06-01
102,552.9155206286837,552.9155206286837,819.3159898477157,863.2495088408646,2058.0457650273224,2293.8512396694214,1471.0,1993-07-01
103,587.0032067094228,587.0032067094228,838.4603199498118,901.0006527415144,1921.7111966824643,2337.0,1348.8366141732283,1993-08-01
104,462.4910179640719,462.4910179640719,676.0,743.9999999999999,1659.0,2005.0,1114.0,1993-09-01
105,404.0,404.0,543.0,541.0,1435.0,1783.0,867.9999999999999,1993-10-01
106,492.0,492.0,660.0,773.0,1774.9999999999998,1981.0000000000005,1100.0,1993-11-01
107,521.0,521.0,703.0,800.0,1769.0,2005.0000000000005,1050.0,1993-12-01
108,410.0,410.0,599.0,522.0,1452.0,2042.0,809.0,1994-01-01
109,394.0,394.0,690.0,507.0,1527.0,2963.0,830.0,1994-02-01
110,416.0,416.0,809.0,620.0,1597.0,3258.0,810.0,1994-03-01
111,642.0,642.0,928.0,1098.0,2003.0,1962.9999999999998,1507.0,1994-04-01
